review_time_ago,review_text,review_rating,review_year
3 months ago,"They have time slots to choose from. Food stalls nearby. There was a waiver form you need to fill which the cashier forgot to tell us that we eventually found out when we were about to get our skating shoes. It was a bit chaotic when we were inside to get our skating shoes. There was no proper line and some would just cut in line probably because they are excited to get to the rink. There are also extra fees for the bear, locker and socks. The socks cost about 50 pesos and they say its important to buy if the socks you're wearing does not cover until your calves because people could get rash due to many people using the shoes. Helmets are not sturdy and smelly due to sweat from previous user. But I'm in for the experience so I just shrug off my whole chaotic encounter. There were figure skaters practicing and playing around at the rink too so it was entertaining to watch.",4 stars,2024
3 months ago,"Was looking through old photos and came across photos from when I skated mid December and got reminded about how bad my skating experience was… first, while lining up, I witnessed the guard very rudely speak to multiple of the other customers and treat them with no respect. Very unprofessional needs more training, perhaps even switch out for a different guard. I also asked him twice if we could go in yet, and both times he ignored me. Upon entering the skates were not only stinky but one of the skates my friend received had broken laces? I don’t know how that was allowed. The ice was honestly really dangerous too. It was very bumpy and had a lot of holes that you could very easily trip on. Crowd control was not that great either, everyone was everywhere made it even more dangerous to skate. Overall it was okay, but would’ve been more stressing if my friends weren’t distracting me from the chaos.",2 stars,2024
1 month ago,"it was fun and enjoyable went here with the love of my life heeheh naa pd mga instructor and skating students it was too nice to see. One thing I despise kay they gave me a really worn out skating shoes and ohab kaayoo 🥹🥹🥹 I guess I do not have a choice??? Lain sd kaayo mamili ko na mao na may gihatag. Either way, I had fun ans thats what matters",3 stars,2024
4 months ago,"I gave it two star because of the skating shoes is super old, it's not sharp enough, and the entrance smell feet . The floor in ice skating area has alot of bumps so bit disappointing , can cause accidents especially for the beginners and children.
But at the end still have fun.
Entrance fee is 330 good for 2 hours.",2 stars,2023
4 weeks ago,"Check the picture for the latest price as of March 2024.

Enjoy kaayo!!!",5 stars,2024
3 months ago,"The experience was fun, but the skating shoes were so old and dull hope you could upgrade them... also there's portions of the ice that is very bad it could cause accidents. The bump cars compromises the space of the public skaters and also for the enrolled figure skaters considering the high price you have to pay for the entrance. The regular guard is so rude, so unapproachable and disrespectful, needs more training.",1 star,2024
1 year ago,"Long queue to get and pay the ticket, other people are inserting pretending to get a waiver form!!! no strict compliance, no social distancing 😢 After paying the ticket another long queue to get inside the ice skating. It could be good if the ticket can be purchase online so no need to queue twice. …",3 stars,2023
1 month ago,My first time and I'm scared but I enjoyed it  😁 …,5 stars,2024
1 year ago,they have scheduled times for in and outs so i would highly suggest checking it out first to plan ahead bc it tends to get a bit busy. we dont rlly know how to skate and just went there for the experience and also to try out ice skating. enjoyed it but we only got to skate for less than 30minutes (we got a 2hr pass) bc our feet are hurting already lol. the skating shoes are a bit old alrdy but ofc still usable.,4 stars,2023
1 year ago,"Best place to experience skating, that you dont have to travel far from Cebu.

Expect the following:
1. Weekends and holidays long queue to purchase ticket.
2. Another que to get inside.
3. Shoes are old.
4. If you have big size of your shoes I dont suggest you try skating because their sizes are small and you will not enjoy skating.

What we did, First, fill up the waiver, second while you fall in line for the ticket, someone from your group also will fall in so that when you have the ticket it will be easy for your group to get inside. Visit with a group because it will be fun, rent a locker to keep safe your valuables TIP: put inside your things in one go so that you will not have to open your locker again because it will ask for another coin for you to open again.

Rent a polar bear, if its your first time, you will need it.",4 stars,2023
