review_time_ago,review_text,review_rating,review_year
3 months ago,"Title: Glide and Chill at SM Megamall Skating Rink

The SM Megamall Skating Rink offers a cool escape from the bustling mall atmosphere, providing a fun and energetic experience for both beginners and seasoned skaters alike.

The rink itself is well-maintained, with smooth ice that facilitates easy gliding. Skating here is a breeze, and the spacious layout ensures that even during peak hours, you won't feel too crowded. The rental skates are in good condition, although bringing your own pair is always an option for those with specific preferences.

The rink's ambiance is vibrant, complemented by upbeat music that adds to the overall enjoyment. It's an ideal spot for friends and families to gather, offering a blend of recreation and exercise. For those looking to improve their skills, the rink occasionally offers lessons, making it accessible for beginners eager to learn the ropes.

One downside might be the occasional long lines during peak hours, but the wait is generally worth it once you hit the ice. The ticket prices are reasonable, making it a cost-effective activity for a day out.

Overall, the SM Megamall Skating Rink provides a delightful experience for skaters of all levels. Whether you're looking for a casual outing or a more serious skate session, this rink offers an enjoyable escape within the heart of the mall. Lace up your skates and glide away for a refreshing and entertaining time.",5 stars,2024
4 months ago,"Its so happy to skate here because sometimes there's disco here, also people here enjoying their time and can get some friends",5 stars,2023
1 year ago,This is a pretty big skating rink at first I thought it was small but after getting up close and getting inside and experiencing it it is very large. It’s better to come Monday through Friday where you can have a little more space on the weekends this place is beyond packed I mean jam packed and for the line is out the door around the building on the weekends. However a very nice addition they do have a set of bleachers to sit on or in while you watch your company ice skate I would say there’s about 12 to 15 rows and then there’s two sets Bleachers which is really accommodating so I have to give them a higher star then I was going to just because of that. Also their prices are pretty fair not too bad for Large City and such a large skating rink. Teresa skating rink you will need to go all the way to the very top floor that’s where it is located.,5 stars,2023
1 year ago,"It was okay.

Skating rink was okay. Skating experience was good as they have attendants inside where when they saw you fell or struggling they are kind enough to help you and also teach you the basics. They have coach where you can rent for 30 mins for 200php (if I heard it right). At that time they no longer have available coach.

We paid for 399php per person good for 2 hours (adults and kids), entry is per batch. Since we are not a pro we rented 2 ""polar bears"" for 125php each. It will be like your walking stick to help you during skating. I highly recommend this for first timers like us. Then 50php each locker.

What I don't like here is it seems like they don't prioritize the health protocol. Literally, once you return the skate shoes, helmet, wrist band locker key, I never saw them disinfecting it. (Upon entering nor upon leaving) And they no longer have alcohol in the dispenser. I asked for it twice so I ended up going back to my locker to get my own alcohol.

I don't like how they organize the queue and how they want you to wear skating shoes first before giving your locker key even when you already paid for it. Imagine, putting your things inside the locker walking from the chair to the locker and TAKE NOTE WEARING SKATING SHOES! They should have considered that not all lockers were positioned eye level, what about those lockers at the bottom!? We asked for it before wearing the boots but they declined to give it as probably the locker was just a one time use.

I will give it a 3 star because the kuya who assisted us during skating was really nice and my inaanak enjoyed.",3 stars,2023
8 months ago,"Very poor process. Its already 2023 and they are still not digitalized. It takes more than 1hr just to pay and another 1hr at least before you can enter. The line is ao long, there are 3 cashiers but only one is working. If you have kids, one adult is required to go inside and have to pay for no reason even though your kids can do it by themselves as they have experience in ice skating already. We even bought tickets online but you still need to queue as they said official tickets have to be redeemed in the counter. Buying tickets online is useless!!! Very disappointed.",1 star,2023
1 year ago,"Aug 2022: They are super organized now than before. From the lockers down to the polar bear rental, everything is in order. They limit the entry of people every 2 hours. That's why the ice skating rink is not that crowded. Kudos to the management and staff for making said changes. Good job!!! 👏🏻 👏🏻👏🏻

Mar 2023: They are super organized and they also have Friday Disco On Ice 😊 The only downside is that the skating shoes are in bad condition and it has a terrible smell. Hopefully, they can address this issue ASAP. They also have Taters food stall inside.",4 stars,2023
7 months ago,"Went to buy ticket at around 2PM however the next scheduled time to go inside the rink would be 5PM. Process was smooth to get the skating shoes for our sizes and locker. When it's time to get inside the rink, I noticed that the rink seems a bit damp/wet. I remember when I was younger that whenever we go to the old skating rink from SM Megamall that the ice is dry and it doesn't have any water forming inside the rink. And I feel that it's easier to skate if the ice looks dry and not wet.",3 stars,2023
1 year ago,"The staff were really nice, especially the skate rental attendants. The service was exceptional.

The only problem is that none of the skates available for rent (size 9) were sharp. There was zero edge on the blade and clearly have not been sharpened for a long time. Stating on dull blades is a very serious safety issue. If there is no edge on the blade, there is no ability to turn or even balance. This is very dangerous. I would not recommend this business until they have the ability to sharpen the skates.",1 star,2023
2 months ago,"Rink is decent but the iceskates are often broken and terribly stanky. They dont clean the skates between clients (as far as we could tell) so its quite disgusting.
Staff is very helpful and friendly though.",4 stars,2024
6 months ago,"It was my first time trying, and I am happy about it. Definitely will go back and try again. It was hard to learn and felt down many times (part of it and enjoyed it).

The shoes are not clean and smelly, I recommend bringing extra socks in advance. And you can buy your ticket online, which is much cheaper on the metrodeal website.",4 stars,2023
9 months ago,"Happy now body ache later 🤣🤣🤣.
One of the best experience this year, worth it to try.",5 stars,2023
2 months ago,"Grumpy, unhelpful salespeople.  Didn't have the shoe size I confirmed in advance they had.  Show up an hour later...someone in front of me grabs the last (only?) Pair of size 9s.  Like, really???  On a Tuesday 2pm when school is in session.  What's it like on a weekend, or holiday break?

You are in a megamall, and you have ONE pair of 9s?  Lol... amateur hour here at the ""greatest"" mall on the Philippines.  More like the laziest.

How difficult can it possibly be to have EXTRA on hand just in case...like any other normally functioning business would. Pathetic.",1 star,2024
3 months ago,"Skates stink so bad and are so dull (hard to glide in) theyre in such bad shape overall. I dont like the timeslot system either because they take so long to process the line. Lockers are also required but so unsystematic and some of the ice marshalls are so rude! Lastly, they post special scheds in advance but dont even follow them!",1 star,2024
6 months ago,Been there with my siblings. Its friday night kaya madaming tao pero super enjoy. Memorable experience for a first timer hehe,5 stars,2023
5 years ago,A very fun experience. A good place to hang out with friends and family. Don't forget to bring your sweater because its so cold inside. They also have variety of shoe sizes so everyone has a fit.,5 stars,2019
5 months ago,"The Changing/Rest Area needs Improvement!

As a Regular on Sundays, I really hope the shower rooms are modified or converted into changing rooms

When hockey players and figure skaters are crammed in the morning at the registered skaters area, there's overcrowding that happens. Not only that everyone's skate blades, it doesn't matter if you're a figure skater, hockey player or speed skater, the pads are not covered enough to protect everyone's blades

It would be nice to have some privacy while skaters change into their costumes or gear as well. Utilizing the shower/changing room would really help with this problem

The Ice
Maybe it's the weather, but those spiky metal sheets on the ceiling are creating water droplets that make the ice really bad. Maybe it's time to remove the metal sheets from the ceiling and replace them with something more practical?",3 stars,2023
7 months ago,"Healing my inner child!

Tip: bring alcohol or sanitizer. The shoes could be smelly.",5 stars,2023
1 year ago,"Skating rink was not as smooth as it was sadt. The skating has new instructions where you could only skate in one direction - counterclockwise. Removes the fun out of the freestyle. Hahaha also there are a lot of people when we skate and seems that it was overcrowded especially on the sides handle.

Anyways, we tried the 2hrs instead of the unli hours. It's enough amount of time because you'll get exhausted easily of you're a beginner. Locker room rental for your valuables and shoes are php50. The shoes are not new and bring thicker socks so that you won't wound yourself in the shoes aglet metal holes inside.

Good for beginners who would like to have fun.",3 stars,2023
5 years ago,"Spacious place to skate and good for beginners. The ice is not that smooth so be careful. The shoes are “smelly” from overused I think. There are a lot of people there specially on peak days (weekends).

Rate is 450php unlimited skating
100php for the Polar Bear rental (1hour) - this will help you to balance while skating

50php for the locker rental

Overall, this is a good place to have fun with friends.",3 stars,2019
4 years ago,"Fun place for the kids.  Regular rate of p450 and they promo for p250 during weekdays.
The shoes tend to be old and smelly.  But the kids dont seem to mind.
Its worth the experience and good bonding for the kids",4 stars,2020
5 months ago,Haven't tried it yet but it seems worth it.,5 stars,2023
1 year ago,"People traffic inside the rink: manageable since they provide time slots
Price: $$
Service: queueing up might pile up so best to plan it accordingly",4 stars,2023
4 months ago,Love this place 😍 worth the wait 😁😁,5 stars,2023
1 year ago,Big space.. we had so much fun and will definitely come back.,5 stars,2023
7 months ago,"DO NOT COME HERE WITH YOUR KID!
Skate blade is terrible, zero edge on their blade. I would not recommend you bring your family or kids here.
This is very dangerous because the shoes cannot provide enough support.
Is a ankle breaker. is really painful every second.

It was disappointed that size 9 is the most popular one but SM not prepare enough.",1 star,2023
6 years ago,"Serviceable skating rink.  The ice is a bit rough due to the number of people and they only service it twice a day.  Even after the zamboni smoothed the ice, it wasn't the quality of surface I am used to.  The quality of the skates weren't up to standards as well.  But for beginners and first timers, this rink will do.",3 stars,2018
1 year ago,It was super nice. You have to get there early so you don't have to wait in line. They have 2 hour rent and an all day pass.,4 stars,2023
1 year ago,"Cool place, but check because they have time limits. And also locker is one time use only(u can open and close it only once). So if you gonna share it, keep in mind it.",5 stars,2023
7 months ago,"I'm a big fan of ice skating. We usually ice skate at SM MOA but had to go here because my friend is nearer here in Megamall.

I'm a bit disappointed. Because there's too many people,we had to fall in line for like 30 minutes just to get the ice skates.. the rink is smaller compared to MOAs and the worst part is the shoes smells so bad. In Mall of Asia, it's not like this.",2 stars,2023
11 months ago,Went here on a Thursday before lunch with friends. Not much people and pretty large skating rink considering it is inside a mall.,5 stars,2023
1 year ago,"Had fun, but check ur schedule bcoz they have time limits. You can also rent a locker & a polar bear which you can use to stand or a guide & you can borrow helmet for free.",4 stars,2023
7 years ago,Great place to learn skates. But one of the problems i faced are the coaches of the figure skaters. They get mad at customers for obstructing but those customers are begginers and cannot help obstructing. But essentially good quality of rink and they periodically clean the rink. Some shoes smell by the way,3 stars,2017
4 years ago,"We had so much fun Celebrating our 7th year anniversary here at Megamall Ice Skating Rink last 02/16/2020.

Trying this ice skating for the very first time for both of us was so lit. 🤙🏼

5 Pointers

1st: It was not easy to walk at the ice with the ice skate. Kudos to those who are trying really hard to practice dancing with it, you guys are awesome.
I best suggest to rent a polar bear for a firt timer. It really helps.

2nd: I forgot to bring a jacket with me it was so cold inside the rink. So, I recommend don't forget to bring one jacket with you guys.

3rd: For you to enjoy the moment try to copy-cat the others. I swear, it can help you to move slowly but surely.

4th: Don't forget to record a video clip when you are a first timer. I bet you, it will makes your jaw and belly hurt due to laughing hard. Record every moment and have fun.

5th: Don't forget to take a photo and slay your ice skate. As if you've never been through many struggles strolling with it. ⛸",5 stars,2020
1 year ago,"They have cut off even if you are paying for unlimited ice skating. On weekends, if you arrive at 1pm, there's tendency that your time in will be 3:15pm. If you have a 2-hr ticket (limited time), chances are, you'll be at 3:00 or 5:30 batch. With the long lines coming in, plus long lines in getting shoes, and wearing it, you will start to skate at around 3:30 or 3:45pm. They will ask you to leave the ice at 4:30 to resurface the rink and your time will end at 5:00 pm (so, that's basically 1 hour only, not 2hrs!). They will not let you come in anymore after they clean the rink. Lockers are for one time use (one open and one close), they will lock your locker and confiscate your things if you opened it for any reasons at all. If you rest and take off your ice skating shoes, they will confiscate the shoes (no shoes on the floor), and you need to fall in line again to get one (long lines during cleaning period). Very, very frustrating.",3 stars,2023
1 year ago,"Good place for those who know how to ice skate. Not so beginner friendly. Polar bears that serve as guides are not always available. You need to line up on the waiting list. It is more okay if you have your own shoes as your exact size may not be available on your schedule. Skating shoes are included in the price, but most of the shoes are old. Good to try, but I'm not thrilled to go back.",3 stars,2023
1 year ago,"It's good however there is a chance to get the B.A.5 variant that is more transmisable, WHO also announced a new mutated sub variant B.A.75 that is more transmitable and can pass undetected if you are already vaccinated, be aware, DONT SPREAD COVID IN MANILA TO AVOID LOCKDOWN AGAIN, WAG ""PASAWAY""!!!",1 star,2023
1 year ago,Great place to have fun with friends and family,5 stars,2023
1 year ago,"Reality check, we still have Covid19, gathering like this are Super Spreader...",2 stars,2023
3 months ago,"Well maintained facility, very popular destination",4 stars,2024
1 year ago,"Please choose your staff carefully. The woman that was in charge of the counter at this very day, July 13, 2022, around 4:30-5:30, was very rude and didn't take her customers seriously. For she told a customer what would the customer do or ""Ano ang magagawa mo?"" (in a very rude and arrogant tone), when the said customer was just asking for information as to why they were told by the said woman that the ice skating rink was closed when there were obviously a new batch in the skating rink.",1 star,2023
1 year ago,Amazing! Polar bear is my hero 🐻 …,5 stars,2023
1 year ago,"Once located beside Megamall's foodcourt in the basement floor, this one is now relocated in the 5th floor of the new Fashion Hall. This is a full sized rink compared to the previous one.",5 stars,2023
1 year ago,Based  of my observation not experience while watching the people inside the ice skating they are all enjoying while skating.This place  has wide area that giving them very comfortable.There are also tutorial who do not  know how to skate.,5 stars,2023
3 months ago,Nice,5 stars,2024
1 year ago,"The staff who's giving stubs are not consistent. Pinapila niya kami near the cashier area, then I am trying to talk to her regarding 2hr pass vs. afternoon pass, so after confirming that the 2hrs pass for 4pm is full, we're trying to get the afternoon pass but she's not paying attention to me and decided to go somewhere else, pero ako, nagstay pdin ako sa pila expecting that the stub she's giving is for 2hrs pass only, then nung ako na ung next, the cashier is asking for a stub, so I said na wala siyang binibigay, so tinawag ni ateng cashier ung nagbibigay ng stub, then that woman denied that I am requesting for a stub for 5pax and want me to go to the end of the line to wait again. Nakakadisappoint. Skating was one of our activities on that day my birthday and that woman blew it off. nakakaloka. di approcheable mga tao, bad customer service!!!!!",1 star,2023
2 years ago,"A very fun experience this photo was taken pre-covid, it is a good way to relieve stress",5 stars,2022
1 year ago,"Awesome experience, but if you like to try this bring a thick socks and do stretching first coz your feet might get hurt.",4 stars,2023
8 months ago,Rentals were bad. Dull blades (couldnt even glide). Basically no maintenance on the equipment.,2 stars,2023
5 years ago,A fun experience indeed. Don't forget to bring a sweater because it's cold!,5 stars,2019
11 months ago,Great place to skate.,5 stars,2023
4 years ago,"Overall, this ice rink is like an oasis in the desert in Manila. The ice skate shoe rentals are in disrepair which makes it very hard to find your balance on the ice if you are an advanced skater. I think the beginners had a lot of fun pushing the polar bear statues for balance. I need my own skates to enjoy this rink but they do not have a sharpening grinder either. Overall, my friends had a good memory at this skating rink.",4 stars,2020
1 year ago,"Kids really enjoyed the opportunity to try ice skating. Perfect bonding moment for the family.  Go on weekdays, less people. Make sure you bring extra socks for the kids.",5 stars,2023
1 year ago,Amazing place. Staff is very friendly. Will go and have fun on this skating rink again. Remember to bring socks.,5 stars,2023
1 year ago,"Staff is nice, shoes can be asked for replacement. I prefer this rink over Mall of Asia's",4 stars,2023
1 year ago,"The first skating rink in the Philippines,  it opened in the early 1990s. It has recently been renovated and relocated from basement level to 5th level",3 stars,2023
1 year ago,As usual. People fall in line for queuing🤔 …,4 stars,2023
8 months ago,My kids really loved it,5 stars,2023
11 months ago,SM is always the best. Benn here for 100 times already with my friends and family.,5 stars,2023
5 years ago,Spacious rink. But I think shoes are very heavy and *smelly. My first time skating so couldn't really tell if there's lighter shoes for this but some skaters do have their own shoes and I think they're lighter than the free shoes. It could be more fun for beginners maybe.,4 stars,2019
1 year ago,We arrived around 3pm.. and the security guard told us to wait til 5pm to buy the ticket and by 7pm we can enter to do the skating...,1 star,2023
1 year ago,"For starters, do penquin walk. Wear your protective gear.

Currently as of July 2022 last week update: they have no available trainer/instructor.",5 stars,2023
1 year ago,This is one of the few places in the Philippines you can actually ice skate. Its a bit cold for the locals but if you are used to it then it will be a welcome temperature.,5 stars,2023
1 year ago,"I was here, alot of people came here, quite popular. You have to wait a long line, not suay they dont have enough my size fore ice skate",4 stars,2023
1 year ago,Great experience in the ice but they should really sanitize the shoes😅 Looks like they haven't been cleaned for years …,4 stars,2023
6 years ago,Coming in the early morning (10:00 AM) on Sundays is probably one of the best times to ice skate for beginners or people who want to work on technique. I avoid the peak times as it sometimes feels a little bit too crowded and renting perfectly-sized boots becomes tricky.,4 stars,2018
1 year ago,The skating experience is great but got fed up of waiting time ..reached 2:45 and stand in line for one hour and got slot for 7 15 to 9 15pm,4 stars,2023
5 years ago,"We’re still in the Philippines and the kids need ice time, so we decided to check out the ice skating rink at Megamall. The rink is located on the 5th floor. It was a pleasant surprise to see that the ice is maintained. And I wouldn’t have believed it if I didn’t see it myself, but they have a Zamboni. My daughter told me the skates are not as dull as at the MOA ice rink. Also, you can choose between figure skates and hockey skates at no extra charge.
While the MOA rink has for hockey players, the Megamall rink has more figure skaters. Overall it’s a good experience for the kids. If you need to ice time while I the Philippines, this rink is the better of the two we’ve been to.",5 stars,2019
4 years ago,A must-try experience when you're in Megamall! The ice is relatively well-maintained and the skates they provide are decent. Really fun to go out either to practice alone or to have fun with friends.,5 stars,2020
1 year ago,"Super crowded place. If you want to go here, make sure to be early, preferably morning.",2 stars,2023
1 year ago,Cool place. Though not ao maintained in terms of its cleanliness,4 stars,2023
4 years ago,"It gets crowded during the weekends and in the afternoons. Best to come in early, just right after the mall opened. Or plan the visit on a weekday.",4 stars,2020
1 year ago,"Crowded ice skating rink, but price is sensible. A good choice for occasional recreational change for your weekend activities.",4 stars,2023
5 years ago,We had so much fun playing around in the skating rink,4 stars,2019
5 years ago,Really enjoyed at this place with my friends. Affordable price with high quality equipments. You can get discount coupons occasionally.,4 stars,2019
4 years ago,Kids had a blast! Polar bears saved the day!,5 stars,2020
1 year ago,I only glimpsed on it and it looked fine. Being new helps too.,5 stars,2023
1 year ago,Nice place to visit for family bonding and for hanging out with friends too.,4 stars,2023
1 year ago,It's nice. You obviously need a jacket tho and socks hahahahaha,4 stars,2023
1 year ago,Probably the obly ice skating rink I Mandaluyong City. What a treat in a tropical country like the Philippines.,5 stars,2023
1 year ago,"The place is barely full and the wait can be long, not enough skates to rent, they're always rented,,,",3 stars,2023
1 year ago,It's good when it's not too crowded and the temperature is fine,5 stars,2023
1 year ago,We are enjoying your food and your staff are very friendly,5 stars,2023
8 years ago,"Uhm, I will go skating this week but I just wanna know if the iceskates have a good quality and if you can have a guider or like a walker thingy if you are still unstable.",3 stars,2016
8 years ago,The ice rink is very spacious and well lit. The ice is well maintained. Only downside is that the skating shoes seems kinda old and dirty.,4 stars,2016
1 year ago,Make reservation first if your're planning to go here,5 stars,2023
7 months ago,"the only problem are the skating shoes,, they smell horrible",3 stars,2023
1 year ago,Ice skating in the heart of the metro. The skating area itself is really well maintained.,5 stars,2023
1 year ago,Its non existent in SM Megamall for a long time now,1 star,2023
1 year ago,Been here many times and they never disappoint,4 stars,2023
1 year ago,Good place to learn skating and cheap fee too,5 stars,2023
1 year ago,SM megamall skating rink is better than in MOA,5 stars,2023
1 year ago,No skating rink at Megamall..the place has occupied by TOY KINGDOM STORE ....,1 star,2023
1 year ago,A great place to chill just be careful not to get sprain or bruised.,5 stars,2023
1 year ago,Good place to have fun with family and friends,5 stars,2023
3 years ago,Awesome 👍 …,5 stars,2021
8 years ago,Rental skates are all old and blunt. Preparation of ice and filling is happens irregularly and therefore the quality of the ice rink is very very bad sometimes.,4 stars,2016
1 year ago,"Nice place, almost everything available, nice foo also",5 stars,2023
1 year ago,"Just beware that the skis they're renting are old, used and abused.",4 stars,2023
1 year ago,My brother enjoy the place a lot.,4 stars,2023
1 year ago,"Bigger, brighter better compare to the old skating rink.",4 stars,2023
1 year ago,bro this thing so good when i tried to skate the ice was moving and so i moved with it,5 stars,2023
1 year ago,Very nice and relaxing to watch the skaters practicing.,4 stars,2023
1 year ago,Nice but no money to try it.,3 stars,2023
1 year ago,Good but too many people,5 stars,2023
5 years ago,Many people visit here everyday so you might wanna choose an ordinary weekday,4 stars,2019
8 months ago,🥶,5 stars,2023
1 year ago,"A cool  place for  a tropical ice  skating rinks
.",5 stars,2023
6 years ago,Good place. I like it.,3 stars,2018
1 year ago,Crowded on weekends. Skates are kinda smelly.,4 stars,2023
5 years ago,Slippery but was a good experience,3 stars,2019
3 years ago,Own shoes is suggestable since the shoes are way TOO heavy and uncomfortable,3 stars,2021
