review_time_ago,review_text,review_rating,review_year
3 months ago,"It's a fun experience!
If your planning to go, just a heads up, register and secure your slot first early so that you'll have your slot. The activity is every two hours. Make sure to bring  a jacket, and don't use shorts if your a newbie. It's normal to fall but don't worry it doesn't hurt much. Just enjoy the 2 hours I guarantee that it's worth it.",5 stars,2024
3 months ago,"If you go there, bring your own skates. They have skates there aswell but many of those are not in good condition which makes it very hard to skate with them.
But i liked that they have step by step signs which help you to orientate where to go first (paying) and what the following steps (shoes, icebears, entry,etc.) are.",2 stars,2024
1 month ago,"Nice this is price
2 hours 350
Bear 125
Locker 50
Companion watcher 100",5 stars,2024
11 months ago,"Ambience: the place is festive and properly lit. We went in as part of the first batch of the 2 hour pass, so the rink is not crowded. There are several skaters who i think are pros that are practicing around, some are ice skating students and most people are like us, just casual skaters. 😊 Be sure to bring socks for hygiene reasons. They have lockers for rent, so one can secure their belongings.

Staff and service: we are satisfied with all those encounters we had with their staff. From the ticket buying, to the guard at the entrance, ice skates keeper and locker custodian.

Please be aware that their operating time is different with mall hours and the 2 hour pass starts at 11:15 am and cut-off at 6:30pm during weekend. Different schedule for weekdays. See the photo i attached with this review for the price and schedule.

Parking: it is located inside MOA, parking is available all around the mall.",4 stars,2023
11 months ago,"It was my first time to do ice skating. It was easy to balance because I've roller skated before, I just had to get used to the slippery ice. We booked a time slot from 10am-12nn, and it wasn't busy, so I could skate without any worries bumping other people. Overall, it was a great and enjoyable experience.",4 stars,2023
3 months ago,"Sm Skating offers a thrilling experience for skating enthusiasts. The smooth and well-maintained surfaces provide an ideal environment for both beginners and experienced skaters. Whether you're honing your skills or just enjoying a leisurely skate, Sm Skating provides a fun and welcoming atmosphere for all.

Downside: Skate shoes smell bad seems like it's not well maintained 😔",5 stars,2024
3 months ago,We've enjoy it a lot even though we're struggling. Hahahha,5 stars,2024
1 year ago,"First time trying to ice skate, ⛸️ really enjoyed the experience. We got our tix at metro deal for 270 php and that is already good for 2 hours. We also paid for a locker for 50php and polar bear for 100php for an hour. Just a downside I think is that they only have a one time access for the lockers but overall it was a very fun experience especially if you were with your friends and loved ones.",4 stars,2023
1 year ago,"Been here multiple times. It's really fun being here. It's better if you will try the unlimited pass para di kayo mabitin for less than Php. 500.
Bring your own socks or you can just buy sa store at the side. It's not really cold when you're inside na kaya it's okay not to wear jacket but it's up to you of course.",5 stars,2023
3 months ago,"It is good to have fun, dates and exercise here... Don't go if you will be the only one, you maybe bored to death.

Pick your skating shoes well or your skin will chafe. Shocks should be up to you shin.",4 stars,2024
1 year ago,"We love Ice skating! It's just that, it is more expensive now that before pandemic, yet it's okay. 😊 No Walk ins, you must schedule or book your session. …",5 stars,2023
