review_text,review_rating,review_year,branch
"They have time slots to choose from. Food stalls nearby. There was a waiver form you need to fill which the cashier forgot to tell us that we eventually found out when we were about to get our skating shoes. It was a bit chaotic when we were inside to get our skating shoes. There was no proper line and some would just cut in line probably because they are excited to get to the rink. There are also extra fees for the bear, locker and socks. The socks cost about 50 pesos and they say its important to buy if the socks you're wearing does not cover until your calves because people could get rash due to many people using the shoes. Helmets are not sturdy and smelly due to sweat from previous user. But I'm in for the experience so I just shrug off my whole chaotic encounter. There were figure skaters practicing and playing around at the rink too so it was entertaining to watch.",4 stars,2024,cebu
"Was looking through old photos and came across photos from when I skated mid December and got reminded about how bad my skating experience was… first, while lining up, I witnessed the guard very rudely speak to multiple of the other customers and treat them with no respect. Very unprofessional needs more training, perhaps even switch out for a different guard. I also asked him twice if we could go in yet, and both times he ignored me. Upon entering the skates were not only stinky but one of the skates my friend received had broken laces? I don’t know how that was allowed. The ice was honestly really dangerous too. It was very bumpy and had a lot of holes that you could very easily trip on. Crowd control was not that great either, everyone was everywhere made it even more dangerous to skate. Overall it was okay, but would’ve been more stressing if my friends weren’t distracting me from the chaos.",2 stars,2024,cebu
"it was fun and enjoyable went here with the love of my life heeheh naa pd mga instructor and skating students it was too nice to see. One thing I despise kay they gave me a really worn out skating shoes and ohab kaayoo 🥹🥹🥹 I guess I do not have a choice??? Lain sd kaayo mamili ko na mao na may gihatag. Either way, I had fun ans thats what matters",3 stars,2024,cebu
"I gave it two star because of the skating shoes is super old, it's not sharp enough, and the entrance smell feet . The floor in ice skating area has alot of bumps so bit disappointing , can cause accidents especially for the beginners and children.
But at the end still have fun.
Entrance fee is 330 good for 2 hours.",2 stars,2023,cebu
"Check the picture for the latest price as of March 2024.

Enjoy kaayo!!!",5 stars,2024,cebu
"The experience was fun, but the skating shoes were so old and dull hope you could upgrade them... also there's portions of the ice that is very bad it could cause accidents. The bump cars compromises the space of the public skaters and also for the enrolled figure skaters considering the high price you have to pay for the entrance. The regular guard is so rude, so unapproachable and disrespectful, needs more training.",1 star,2024,cebu
"Long queue to get and pay the ticket, other people are inserting pretending to get a waiver form!!! no strict compliance, no social distancing 😢 After paying the ticket another long queue to get inside the ice skating. It could be good if the ticket can be purchase online so no need to queue twice. …",3 stars,2023,cebu
My first time and I'm scared but I enjoyed it  😁 …,5 stars,2024,cebu
they have scheduled times for in and outs so i would highly suggest checking it out first to plan ahead bc it tends to get a bit busy. we dont rlly know how to skate and just went there for the experience and also to try out ice skating. enjoyed it but we only got to skate for less than 30minutes (we got a 2hr pass) bc our feet are hurting already lol. the skating shoes are a bit old alrdy but ofc still usable.,4 stars,2023,cebu
"Best place to experience skating, that you dont have to travel far from Cebu.

Expect the following:
1. Weekends and holidays long queue to purchase ticket.
2. Another que to get inside.
3. Shoes are old.
4. If you have big size of your shoes I dont suggest you try skating because their sizes are small and you will not enjoy skating.

What we did, First, fill up the waiver, second while you fall in line for the ticket, someone from your group also will fall in so that when you have the ticket it will be easy for your group to get inside. Visit with a group because it will be fun, rent a locker to keep safe your valuables TIP: put inside your things in one go so that you will not have to open your locker again because it will ask for another coin for you to open again.

Rent a polar bear, if its your first time, you will need it.",4 stars,2023,cebu
Sm Ice skating is located in upper floor Sm seaside. Many young people come here for play. but it need to line and waiting. Price for 2 hour is 300p. Very nice experience must try!!,5 stars,2023,cebu
"It is a must experience, I came in the field without any experience and no training guides, dropped a lot as expected but got a hang of it a little bit after two hours or so.
So far, it was really challenging but super fun, it's a must try.
I would say that I got some leg cramps but that is partly my fault for not paying for the guide training snow bears that are meant for beginners, they were pretty expensive in a whopping 100 peso for rental.
I could say one of the downsides is the somewhat of a lack of maintenance for the Ice skating shoes or whatever they're called, some of them are very dirty and it irritated a bit of my skin allergies.
There's no staff on the field so I'm not sure if there's a lot of safety in mind, probably too sure that all beginners will buy the newbie bears for guidance.
Still a pretty nice experience to have though.
I saw some of the new kids falling over including myself and there's no staff whatsoever to check if they are ok or not and most people wouldn't care and just continue flexing their Skating skills which annoyed me a bit.
The area is also near with Food places so after a long tiring skate you can chill with your family or friends, or with yourself and eat good food.",4 stars,2023,cebu
Great experience ice skating in SM Seaside Cebu City.,5 stars,2024,cebu
Nice place to spend with family. I enjoyed learning how to iceskate (or icewalk) 😁 with my kids. Core memory for our family ❤️ …,5 stars,2023,cebu
"FUN IN ICE.  I always visit this place because my 6- year old loves to skate on ice.  The rink is very spacious. They have plenty of watchers who will constantly ensure that the rules in the place are followed. As long as my daughter loves this, I love this, too.",5 stars,2020,cebu
"The reason why I gave 4 stars its because the SM ICE SKATING RINK should include in their Fee - a short Tutorial and Guide/Assistance for FIRST TIMERS. Nevertheless, the service and staff are great. Though there are limited snacks inside though. The SM Ice Skating Rink is a perfect place for your dream Ice Skating experience. They have a 30-minute Ice Resurfacing Schedule at various timelines of the day.",4 stars,2020,cebu
"I was a first-timer and preferred not to hire a coach, so the first few rounds were VERY challenging. But the whole experience was fun, except that my feet hurt not because of all the skating but because of the ice skates. I've got no idea why the skates seemed to hurt my feet every time even though I chose the right size.

The place was not very huge and seemed a bit too crowded, maybe because it was on a Saturday. There were loads of children.

At the weekends, you can avail only the Unlimited Skating, no other choices, for PHP420. Make sure to add PHP50 to your budget - for the locker, to make sure your things are in a safe place whilst you skate, for peace of mind. ;)",4 stars,2019,cebu
We love to visit here with my family and friends. We enjoy skating to relax and enjoy.,5 stars,2023,cebu
I would highly suggest the people should just go on one direction either clockwise or counterclockwise so that people will not clash. That is how it's done in UK so that no one will clash and the professionals can skate round in the middle in the same direction.,2 stars,2024,cebu
"It was my first time to try ice skating and it was hard to do in actual rather than just thinking on how to do it. But anyone can get better on it with constant practice and training with the application of basics. The location is a great place to experience actual ice skating. And also a great place and time to bond with family, friends and loved ones.",5 stars,2020,cebu
"Fun for all ages. 2 hours or daily passes. Daily passes offer the best value. On fire skates rental, included. Locker, polar bear (to hold on to if you don't know how to skate) and instructors are extra. Food court nearby, benches for those who don't skate and just want to watch.
Good place to burn some energy.",4 stars,2023,cebu
"It is a fun filled way to spend time and go active

It is a way to feel you are not in a tropical country anymore  affordable and even has a bear stand or assist for beginners that cant balance yet for 100 pesos

You can also get a skating coach .",5 stars,2020,cebu
"It's nice to enjoy , but they need to get new shoe laces for the ice skates other than that I recommend you go before noon otherwise it will be very crowded",5 stars,2023,cebu
Had a lot of fuuuun. Me and my friends got to avail 250.00 on a weekday at 7p-9p. Twas really fun.,5 stars,2020,cebu
"I was shocked to see NOBODY skating at 7pm, only to find out that their basic rate is 420 pesos for unlimited hours! Their skate shoes are hard, way too hard that my bunions got swollen in just 10mins. But either way, I had fun skating even though their ice was old and frosty and some parts are uneven.",2 stars,2019,cebu
