review_text,preprocessed_review_text,review_rating,review_year,branch,scores_roberta,neg,neu,pos,sentiment_int
"They have time slots to choose from. Food stalls nearby. There was a waiver form you need to fill which the cashier forgot to tell us that we eventually found out when we were about to get our skating shoes. It was a bit chaotic when we were inside to get our skating shoes. There was no proper line and some would just cut in line probably because they are excited to get to the rink. There are also extra fees for the bear, locker and socks. The socks cost about 50 pesos and they say its important to buy if the socks you're wearing does not cover until your calves because people could get rash due to many people using the shoes. Helmets are not sturdy and smelly due to sweat from previous user. But I'm in for the experience so I just shrug off my whole chaotic encounter. There were figure skaters practicing and playing around at the rink too so it was entertaining to watch.",they have time slot to choose from food stall nearby there be a waiver form you need fill which the cashier forget tell us that we eventually find out when be about get our skate shoe it bit chaotic inside no proper line and some would just cut in probably because be excite rink also extra fee for bear locker sock cost 50 peso say its important buy if youre wear do not cover until your calf people could rash due many use helmet sturdy smelly sweat previous user but im experience so i shrug off my whole encounter figure skater practice play around at too entertain watch,4 stars,2024,cebu,"{'neg': 0.17287022, 'neu': 0.6904912, 'pos': 0.1366385}",0.17287022,0.6904912,0.1366385,neutral
"Was looking through old photos and came across photos from when I skated mid December and got reminded about how bad my skating experience was… first, while lining up, I witnessed the guard very rudely speak to multiple of the other customers and treat them with no respect. Very unprofessional needs more training, perhaps even switch out for a different guard. I also asked him twice if we could go in yet, and both times he ignored me. Upon entering the skates were not only stinky but one of the skates my friend received had broken laces? I don’t know how that was allowed. The ice was honestly really dangerous too. It was very bumpy and had a lot of holes that you could very easily trip on. Crowd control was not that great either, everyone was everywhere made it even more dangerous to skate. Overall it was okay, but would’ve been more stressing if my friends weren’t distracting me from the chaos.",be look through old photo and come across from when i skate mid december get remind about how bad my skate experience first while line up witness the guard very rudely speak to multiple of other customer treat them with no respect unprofessional need more training perhaps even switch out for a different also ask him twice if we could go in yet both time he ignore me upon enter skate be not only stinky but one friend receive have break lace dont know that allow ice honestly really dangerous too it bumpy lot hole you easily trip on crowd control great either everyone everywhere make skate overall okay would have be stressful friend n't distract chaos,2 stars,2024,cebu,"{'neg': 0.7763913, 'neu': 0.197548, 'pos': 0.026060633}",0.7763913,0.197548,0.026060633,negative
"it was fun and enjoyable went here with the love of my life heeheh naa pd mga instructor and skating students it was too nice to see. One thing I despise kay they gave me a really worn out skating shoes and ohab kaayoo 🥹🥹🥹 I guess I do not have a choice??? Lain sd kaayo mamili ko na mao na may gihatag. Either way, I had fun ans thats what matters",it be fun and enjoyable go here with the love of my life heeheh there be instructor skate student too nice to see one thing i despise kay they give me a really wear out shoe ohab kayoo guess do not have choice lain sd kaao 'll go shop that 's what give either way have an thats matter,3 stars,2024,cebu,"{'neg': 0.088329345, 'neu': 0.18893619, 'pos': 0.72273445}",0.088329345,0.18893619,0.72273445,positive
"I gave it two star because of the skating shoes is super old, it's not sharp enough, and the entrance smell feet . The floor in ice skating area has alot of bumps so bit disappointing , can cause accidents especially for the beginners and children.
But at the end still have fun.
Entrance fee is 330 good for 2 hours.",i give it two star because of the skate shoe be super old its not sharp enough and entrance smell foot floor in ice area have a lot bump so bit disappointing can cause accident especially for beginner child but at end still have fun fee 330 good 2 hour,2 stars,2023,cebu,"{'neg': 0.4283936, 'neu': 0.3535386, 'pos': 0.21806774}",0.4283936,0.3535386,0.21806774,negative
"Check the picture for the latest price as of March 2024.

Enjoy kaayo!!!",check the picture for late price as of march 2024 enjoy,5 stars,2024,cebu,"{'neg': 0.0050781276, 'neu': 0.38284174, 'pos': 0.61208016}",0.0050781276,0.38284174,0.61208016,positive
"The experience was fun, but the skating shoes were so old and dull hope you could upgrade them... also there's portions of the ice that is very bad it could cause accidents. The bump cars compromises the space of the public skaters and also for the enrolled figure skaters considering the high price you have to pay for the entrance. The regular guard is so rude, so unapproachable and disrespectful, needs more training.",the experience be fun but skating shoe be so old and dull hope you could upgrade them also theres portion of ice that be very bad it cause accident bump car compromise space public skater for enrolled figure consider high price have to pay entrance regular guard rude unapproachable disrespectful need more training,1 star,2024,cebu,"{'neg': 0.87867117, 'neu': 0.107649855, 'pos': 0.0136789605}",0.87867117,0.107649855,0.0136789605,negative
"Long queue to get and pay the ticket, other people are inserting pretending to get a waiver form!!! no strict compliance, no social distancing 😢 After paying the ticket another long queue to get inside the ice skating. It could be good if the ticket can be purchase online so no need to queue twice. …",long queue to get and pay the ticket other people be insert pretend a waiver form no strict compliance social distancing after pay another inside ice skate it could be good if can purchase online so need twice,3 stars,2023,cebu,"{'neg': 0.031717394, 'neu': 0.38285163, 'pos': 0.585431}",0.031717394,0.38285163,0.585431,positive
My first time and I'm scared but I enjoyed it  😁 …,my first time and im scar but i enjoy it,5 stars,2024,cebu,"{'neg': 0.013977131, 'neu': 0.089228384, 'pos': 0.89679444}",0.013977131,0.089228384,0.89679444,positive
they have scheduled times for in and outs so i would highly suggest checking it out first to plan ahead bc it tends to get a bit busy. we dont rlly know how to skate and just went there for the experience and also to try out ice skating. enjoyed it but we only got to skate for less than 30minutes (we got a 2hr pass) bc our feet are hurting already lol. the skating shoes are a bit old alrdy but ofc still usable.,they have schedule time for in and out so i would highly suggest check it out first to plan ahead bc tend get a bit busy we dont rlly know how skate just go there the experience also try ice skating enjoy but only get less than 30minutes 2hr pas our foot be hurt already lol shoe old alrdy ofc still usable,4 stars,2023,cebu,"{'neg': 0.03931205, 'neu': 0.2833656, 'pos': 0.6773223}",0.03931205,0.2833656,0.6773223,positive
"Best place to experience skating, that you dont have to travel far from Cebu.

Expect the following:
1. Weekends and holidays long queue to purchase ticket.
2. Another que to get inside.
3. Shoes are old.
4. If you have big size of your shoes I dont suggest you try skating because their sizes are small and you will not enjoy skating.

What we did, First, fill up the waiver, second while you fall in line for the ticket, someone from your group also will fall in so that when you have the ticket it will be easy for your group to get inside. Visit with a group because it will be fun, rent a locker to keep safe your valuables TIP: put inside your things in one go so that you will not have to open your locker again because it will ask for another coin for you to open again.

Rent a polar bear, if its your first time, you will need it.",best place to experience skate that you dont have travel far from cebu expect the following 1 weekend and holiday long queue purchase ticket 2 another que get inside 3 shoe be old 4 if big size of your i suggest try because their size small will not enjoy what we do first fill up waiver second while fall in line for someone group also so when it be easy visit with a fun rent locker keep safe valuable tip put thing one go open again ask coin polar bear its time need,4 stars,2023,cebu,"{'neg': 0.048839495, 'neu': 0.3461384, 'pos': 0.60502213}",0.048839495,0.3461384,0.60502213,positive
